#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_3	4482000	0.569	-6	1	1	0.25	0	0	-0.09	304.1	249.7	54.4	306.3	207.0	44.9	-0.099	-2.83
SECTION_3	4482000	0.569	-5	1	1	0.25	0	0	-0.08	237.0	176.9	60.1	241.6	140.4	41.1	-0.082	-3.45
SECTION_3	4482000	0.569	-4	1	1	0.25	0	0	-0.04	185.8	121.4	64.5	201.5	110.9	26.1	-0.066	-1.94
SECTION_3	4482000	0.569	-3	1	1	0.25	0	0	0.00	169.2	102.5	66.7	168.1	90.0	11.4	-0.047	-0.09
SECTION_3	4482000	0.569	-2	1	1	0.25	0	0	0.02	151.7	83.0	68.8	151.8	79.1	4.0	-0.024	1.34
SECTION_3	4482000	0.569	-1	1	1	0.25	0	0	0.05	147.1	77.5	69.6	145.6	76.0	0.0	-0.002	3.67
SECTION_3	4482000	0.569	0	1	1	0.25	0	0	0.09	147.7	78.2	69.6	146.3	76.8	0.0	0.019	6.48
SECTION_3	4482000	0.569	1	1	1	0.25	0	0	0.14	151.8	82.7	69.1	151.7	80.1	2.6	0.040	8.93
SECTION_3	4482000	0.569	2	1	1	0.25	0	0	0.18	161.4	93.4	68.0	161.7	86.6	7.1	0.060	10.95
SECTION_3	4482000	0.569	3	1	1	0.25	0	0	0.23	183.2	116.9	66.3	181.8	98.6	16.9	0.078	12.65
SECTION_3	4482000	0.569	4	1	1	0.25	0	0	0.28	225.8	162.4	63.3	223.6	122.4	37.9	0.094	12.36
SECTION_3	4482000	0.569	5	1	1	0.25	0	0	0.30	290.3	231.3	59.0	288.0	169.2	59.9	0.111	10.29
SECTION_3	4482000	0.569	6	1	1	0.25	0	0	0.28	375.5	321.2	54.3	373.4	249.0	70.2	0.125	7.47
