#Section	Reynolds	Mach 	 AoA 	 Sref 	 Lref 	 Xref 	 Yref 	 Zref 	 CL 	 CDnf 	 CDp 	 CDf 	 CDff 	 CDvp 	 CDw 	 Cmy	L/D
SECTION_4	5032000.00	0.64	-6.00	1.00	1.00	0.25	0.00	0.00	-0.56967000	308.65000000	260.50000000	48.15000000	306.26000000	108.55000000	149.56000000	-0.09148000	-18.60086201
SECTION_4	5032000.00	0.64	-5.00	1.00	1.00	0.25	0.00	0.00	-0.43990000	194.04000000	138.61000000	55.42000000	192.57000000	60.15000000	76.99000000	-0.08578000	-22.84364127
SECTION_4	5032000.00	0.64	-4.00	1.00	1.00	0.25	0.00	0.00	-0.29322000	126.98000000	67.21000000	59.77000000	126.33000000	39.68000000	26.88000000	-0.07951000	-23.21063880
SECTION_4	5032000.00	0.64	-3.00	1.00	1.00	0.25	0.00	0.00	-0.14530000	95.63000000	32.58000000	63.05000000	95.59000000	28.58000000	3.96000000	-0.07568000	-15.20033476
SECTION_4	5032000.00	0.64	-2.00	1.00	1.00	0.25	0.00	0.00	0.00639000	89.03000000	23.65000000	65.38000000	88.91000000	23.53000000	0.00000000	-0.07438000	0.71870431
SECTION_4	5032000.00	0.64	-1.00	1.00	1.00	0.25	0.00	0.00	0.15927000	88.82000000	22.81000000	66.01000000	88.57000000	22.56000000	0.00000000	-0.07409000	17.98238681
SECTION_4	5032000.00	0.64	0.00	1.00	1.00	0.25	0.00	0.00	0.31149000	90.25000000	24.09000000	66.16000000	89.57000000	23.41000000	0.00000000	-0.07379000	34.77615273
SECTION_4	5032000.00	0.64	1.00	1.00	1.00	0.25	0.00	0.00	0.46373000	93.29000000	27.43000000	65.86000000	91.87000000	26.01000000	0.00000000	-0.07291000	50.47676064
SECTION_4	5032000.00	0.64	2.00	1.00	1.00	0.25	0.00	0.00	0.61674000	98.15000000	33.12000000	65.02000000	95.62000000	30.60000000	0.00000000	-0.07064000	64.49905877
SECTION_4	5032000.00	0.64	3.00	1.00	1.00	0.25	0.00	0.00	0.76832000	114.49000000	51.59000000	62.91000000	110.68000000	39.51000000	8.27000000	-0.06447000	69.41814239
SECTION_4	5032000.00	0.64	4.00	1.00	1.00	0.25	0.00	0.00	0.91039000	175.54000000	116.76000000	58.79000000	170.01000000	59.67000000	51.55000000	-0.05454000	53.54920299
SECTION_4	5032000.00	0.64	5.00	1.00	1.00	0.25	0.00	0.00	1.02481000	304.47000000	252.29000000	52.17000000	278.93000000	111.16000000	115.60000000	-0.04770000	36.74075933
SECTION_4	5032000.00	0.64	6.00	1.00	1.00	0.25	0.00	0.00	1.05705000	445.04000000	401.20000000	43.84000000	438.08000000	217.72000000	176.52000000	-0.03482000	24.12915449
